video,prompt,input_image,icon_image
maze3_0011.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0011_00.png,maze3_0011_icon.png
maze3_0012.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0012_00.png,maze3_0012_icon.png
maze3_0013.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0013_00.png,maze3_0013_icon.png
maze3_0014.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0014_00.png,maze3_0014_icon.png
maze3_0015.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0015_00.png,maze3_0015_icon.png
maze3_0016.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0016_00.png,maze3_0016_icon.png
maze3_0017.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0017_00.png,maze3_0017_icon.png
maze3_0018.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0018_00.png,maze3_0018_icon.png
maze3_0019.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0019_00.png,maze3_0019_icon.png
maze3_0020.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0020_00.png,maze3_0020_icon.png
maze3_0021.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0021_00.png,maze3_0021_icon.png
maze3_0022.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0022_00.png,maze3_0022_icon.png
maze3_0023.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0023_00.png,maze3_0023_icon.png
maze3_0024.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0024_00.png,maze3_0024_icon.png
maze3_0025.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0025_00.png,maze3_0025_icon.png
maze3_0026.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0026_00.png,maze3_0026_icon.png
maze3_0027.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0027_00.png,maze3_0027_icon.png
maze3_0028.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0028_00.png,maze3_0028_icon.png
maze3_0029.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0029_00.png,maze3_0029_icon.png
maze3_0030.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0030_00.png,maze3_0030_icon.png
maze3_0031.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0031_00.png,maze3_0031_icon.png
maze3_0032.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0032_00.png,maze3_0032_icon.png
maze3_0033.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0033_00.png,maze3_0033_icon.png
maze3_0034.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0034_00.png,maze3_0034_icon.png
maze3_0035.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0035_00.png,maze3_0035_icon.png
maze3_0036.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0036_00.png,maze3_0036_icon.png
maze3_0037.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0037_00.png,maze3_0037_icon.png
maze3_0038.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0038_00.png,maze3_0038_icon.png
maze3_0039.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0039_00.png,maze3_0039_icon.png
maze3_0040.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0040_00.png,maze3_0040_icon.png
maze3_0041.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0041_00.png,maze3_0041_icon.png
maze3_0042.mp4,"Create a 2D animation based on the provided image of a maze.    The agent slides smoothly along the white path, stopping perfectly on the red flag and then acquiring a trophy.    The agent never slides or crosses into the black segments of the maze.    The camera is a static, top-down view showing the entire maze.    Maze:    * The maze paths are white, the walls are black.    * The agent starts from origin, represented by a green circle.    * The agent slides smoothly along the white path.    * The agent never slides or crosses into the black segments of the maze.    * The agent stops perfectly on the red flag, acquiring a trophy thereafter.    Scene:    * No change in scene composition.    * No change in the layout of the maze.    * The agent travels along the path without speeding up or slowing down.    Camera:    * Static camera.    * No zoom.    * No pan.    * No glitches, noise, or artifacts.",maze3_0042_00.png,maze3_0042_icon.png
